Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
NDC1.8,Veḷḷai Paṭalam,வெள்ளை படலம்,Corneal eye disease with white thickening of the cornea with blurred vision,It is characterised by white thickening of the cornea with blurred vision. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal).among seven udalthathukkal saram gets affected,
NDC1.9,Nāka Aṭalam,நாகப் படலம்,Corneal eye disease with vascularised thickening of the conjuctiva pterigium,It is characterised by vascularised thickening of the conjuctiva pterigium . It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected,
NDD,Mukkuṟṟam,முக்குற்றம்,Corneal disease caused by Mukkutram,,
NDD1.1,Curōṉita Nerical,சுரோணித நெரிசல்,Corneal eye disease due to increased pitham and drug allergy,It is characterised by increased Aẕal and drug allergy. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.,
NDD1.2,Āṇip Pū,ஆணிப் பூ,Corneal eye disease with fleshy growth over the cornea and in flammation of the eye,"It is characterised by fleshy growth over the cornea and inflammation of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected.",
NE,Veḷviẕi Nōykaḷ,வெள்விழி நோய்கள்,Scleral disease,,
NEA,Vaḷi,வளி,Scleral disease of the eye classified under vali,,
NEA1.1,Vari Eẕucci,வரி எழுச்சி,Fleshy growth in the sclera,"It is characterised by fleshy growth in the sclera. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEA1.2,Viraṇa Eẕucci,விரண எழுச்சி,Tissue growth in the sclera with inflammation,"It is characterised by tissue growth in the sclera with inflammation. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEA1.3,Kuvai Eẕucci,குவை எழுச்சி,Fleshy growth in the sclera,"It is characterised by fleshy growth in the sclera resembling the shape of black dhal (Phasea mungo). It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷa",
NEA1.4,Vari Paṭartti,வரி படர்த்தி,Fibrovascular growth covering the sclera of the eye,"It is characterised by fibrovascular growth covering the sclera of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEA1.5,Viraṇa Nerical,விரண நெரிசல்,Inflammatory vascular congesion of the sclera,It is characterised by inflammatory vascular congesion of the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected,
NEA1.6,Nīlavari,நிலவரி,Bluish discolouration in the sclera,It is characterised by bluish discolouration in the sclera with irregular surface. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among seven udalthathukkal seneer gets decreased,
NEB,Aẕal,அழல்,Scleral disease of the eye classified under azhal,,
NEB1.1,Corip Paṭartti,கோரிப் படர்த்தி,Unclear vision due to memrane covering,"It is characterised by unclear vision due to membrane covering in to the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEB1.2,Untu Nerical,உந்து நெரிசல்,Episcleral vascular congesion,It is characterised by episcleral vascular congesion. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.,
NEB1.3,Irattak Kumiḷam,இரத்தக் குமிளம்,Haemorrhagic blister of the sclera,It is characterised by haemorrhagic blister of the sclera. It is explained by increased Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.,
NEC,Aiyam,ஐயம்,Scleral disease of the eye classified under aiyam,,
NEC1.1,Nīr Eẕucci,நீர் எழுச்சி,Tissue growth in the sclera with watery discharge,It is characterised by tissue growth in the sclera with lacrimation. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram and seneer gets affected.,
NEC1.2,Mutteẕucci,முத்தெழுச்சி,Abscess in the sclera,"It is characterised by abscess in the sclera. It is explained by increased iyam (tharpagam). Among the seven udalthathukkal saram, seneer and Ūṉ gets affected",
NEC1.3,Cataip Paṭartti,கடைப் படர்த்தி,Memrane covering the white part of the eye,"It is characterised by thickened membrane covering the white part of the eye. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEC1.4,Tuḷi Nerical,துளி நெரிசல்,Episcleral vascular congesion,"It is characterised by episcleral vascular congestion. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEC1.5,Nīr Kumiḷam,நீர் குமிழம்,Watery blisters in the sclera,"It is characterised by watery blisters in the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEC1.6,Maṅkica Kumiḷam,மாங்கிச குமிளம்,Lackish tissue growth in the sclera,"It is characterised by blackish tissue growth in the sclera. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
NEC1.7,Veḷvari,வெள்வரி,Sclera appears like the scales of fish,"It is characterised by appearance of sclera like scales of fish. It is explained by increased vali (nagan and koorman) and Aẕal( aalosaga Aẕal). Among the seven udalthathukkal saram, seneer, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets affected",
O,"kShudrarogaH, Ūṭṭaccattu Kuṟaipāṭu Nōykaḷ, Natural Pattern(s)","क्षुद्ररोगः, ஊட்டச்சத்து குறைபாடு நோய்கள்","-, Malnutrition diseases, Natural Pattern(s)",-,minor disorders
O-1,"agnirohiNI, Ṭabī‘at","अग्निरोहिणी, طبیعت","-, Medicatrix naturae","the disorder is characterized by antardāhaḥ yukta sphōṭāḥ [blisters with internal burning sensation], kakṣābhāgēṣu sphōṭāḥ [blisters in axilla], jvaraḥ [fever], dīptapāvakasannibhaḥ sphōṭāḥ(agnyābhā) [blisters resemble blazing of fire], māṁsa dāraṇa (dāruṇa) sphōṭāḥ [blisters burrowing muscle], A power endowed by nature to every individual for self preservation which regulates its normal functions. It is the administrator, protector and healer of the body.",vesicles arising in axilla
O-10,Mizaj-i-A‘mar,مزاج اعمار,Temperament according to age,The temperament of an individual in different phases of life.,
O-100,Bawl Mukhāṭī,بول مخاطي,mucilaginous urine,urine that denotes the excess of immature phlegm,
O-101,Bawl Dasmī,بول دسمي,oily urine,urine that contains emulsified fat derived from tissues,
O-102,Bawl Ihālī,بول اهالى,waxy urine,urine that contains phlegm from the actual or threatened dissolution of tissues,
O-103,Bawl Fuqqā‘ī,بول فقاعي,champagne-like urine,urine when mixed with pus indicates the ulceration of urinary tract and without pus indicates the presence of partially matured phlegm or stone in the bladder,
O-104,Bawl Manwī,بول منوى,semen-like urine,"urine that passes during crisis of phlegmatic swellings, in case where the tissues are loose and in the diseases caused by vitreous phlegm",
O-105,Bawl Raṣāṣī,بول رصاصي,lead-white urine,"urine, which is a grave sign when passes without sediment",
O-106,Bawl Labanī,بول لبني,milky urine,"urine, which is a fatal sign when passed in the course of an acute fever",
O-107,Bawl Ghusālī,بول غسالي,urine like colour of raw-meat washings,"urine, which denotes weakness of liver or excess of blood",
O-108,Bawl Zaytī,بول زیتی,urine like colour of olive oil,"clear, viscid and moderately dense urine, in which the yellow colour is tinged with oily translucence. It gives an oily sheen and indicates bad prognosis",
O-109,Bawl Urjuwānī,بول ارجوانی,purple coloured urine,urine that points towards fatal prognosis as it is an indication of the combustion of yellow and black bile,
O-11,Mizāj Insānī,مزاج انسانی,Human temperament,The temperament of human being which is considered to be the most perfect and noble in comparison with all other species. This temperament is inclined towards heat.,
O-11 (SN5Y),irivellikA,इरिवेल्लिका,-,-,Circular eruptions on neck and head disorder due to three dosha (TM2) ⇒
O-11.1,Damawī al-Mizāj,دموی المزاج,Sanguineous temperament,"A type of temperament caused by the predominance of Dam (sanguine) in the body. It is hot and moist. The individuals with this type of temperament have strong built, full pulse, pinkish colour of skin, etc.",
O-11.2,Balghamī al-Mizāj,بلغمی المزاج,Phlegmatic temperament,"A type of temperament caused by the predominance of Balgham (phlegm) in the body. It is cold and moist. The individuals with this type of temperament have fatty body, excessive sleep, whitish colour of skin, etc.",
O-11.3,Ṣafrāwī al-Mizāj,صفراوی المزاج,Bilious temperament,"A type of temperament caused by the predominance of Ṣafrā’ (yellow bile) in the body. It is hot and dry. The individuals with this type of temperament have thin built, yellowish colour of the skin, rapid pulse, etc.",
O-11.4,Sawdāwī al-Mizāj,سوداوی المزاج,Melancholic temperament,"A type of temperament caused by the predominance of Sawdā’ (black bile) in the body. It is cold and dry. The individuals with this type of temperament have thin built with prominent veins, blackish color of the skin, etc.",
O-110,Bawl Jamrī,بول جمری,flame-red urine,urine in which red colour is tinged with the black colour and is a sign of any complicated fever or fever occurring due to thick humour,
O-111,Bawl Raqīq,بول رقيق,urine of thin consistency,urine which generally shows that maturation is incomplete and sometimes indicates towards obstruction in the blood vessels or weakness of kidneys,
O-112,Bawl Ghalīẓ,بول غليظ,urine of thick consistency,urine which generally shows defective maturation  and sometimes indicates towards elimination of thick mature humours,
O-113,Al-Bawl al-‘Adīm al-Rā’iḥa,البول العدیم الرائحۃ,odourless urine,"urine indicative of cold morbid temperament, excessive rawness and extinction of innate heat in case of acute diseases",
O-114,Bawl Muntin,بول منتن,foul smelling urine,urine indicative of predominance of yellow bile. Foul sour smelling urine is indicative of predominance of black bile,
O-115,Sawād al-Zabad,سواد الزبد,blackness of froth,"froth of urine, which denotes jaundice",
O-116,Shuqra al-Zabad,شقرۃ الزبد,reddish-yellow froth,"froth of urine, which denotes jaundice",
O-117,Ṣighar al-Zabad,صغر الزبد,smallness of urine bubbles,smallness of urine bubbles,
O-118,Kibar al-Zabad,کبر الزبد,coarseness of urine bubbles,"urine bubbles, which denote viscidity of matter",
O-119,Qilla al-Zabad,قلۃ الزبد,lack of urine bubbles,lack of urine bubbles,
O-12,Dam Ghayr  Ṭabī‘ī,دم غیر طبیعی,abnormal sanguine,"sanguine humour, devoid of  its normal qualities either through change of temperament such as getting hot or cold or due to admixture with the humours derived from outside or produced within the sanguine humour, e.g., when a part of it gets putrefied, the lighter portion is converted into abnormal yellow bile and the heavier portion into abnormal black bile",
